"id","is_get_time","name","price","secondClassCN","snapshot_time","commit_time"
"1","1767745646","老式钢盔 (几乎全新)","1324","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:26+00:00"
"2","1767745678","ASh-12扩容30发弹匣","51763","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:58+00:00"
"3","1767745639","沙漠之鹰","17640","手枪","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:19+00:00"
"4","1767745644","DRO 战术头盔","8352","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:24+00:00"
"5","1767745679","M4弹鼓60发","34490","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:59+00:00"
"6","1767745691","AR MOE后握把","25012","后握把","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:11+00:00"
"7","1767745642","GN 久战重型夜视头盔","177748","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:22+00:00"
"8","1767745646","复古摩托头盔 (几乎全新)","7097","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:26+00:00"
"9","1767745678","M7 45发6.8弹鼓","106799","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:58+00:00"
"10","1767745680","SVD 20发弹匣","22542","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:00+00:00"
"11","1767745728","LPVO多倍率战斗瞄具","30569","瞄具","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:48+00:00"
"12","1767745732","QJB201新式重锤战术枪管","37212","枪管","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:52+00:00"
"13","1767745735","R93裂变长枪管","60981","枪管","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:55+00:00"
"14","1767745685","枢机先进战斗枪托","37053","枪托","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:05+00:00"
"15","1767745639",".357左轮","13899","手枪","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:19+00:00"
"16","1767745642","Mask-1铁壁头盔","122709","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:22+00:00"
"17","1767745646","H70 精英头盔 (破损)","586517","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:26+00:00"
"18","1767745678","45发 K437扩容弹匣","38939","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:58+00:00"
"19","1767745678","AR 60发扩容弹匣","51449","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:58+00:00"
"20","1767745678","Vector扩容40发弹匣","34799","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:58+00:00"
"21","1767745680","SG552 45发扩容弹匣","35475","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:00+00:00"
"22","1767745684","M700黑色一体枪托","13883","护木","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:04+00:00"
"23","1767745735","野牛刀锋超长枪管","35593","枪管","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:55+00:00"
"24","1767745685","AK19枪托","14347","枪托","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:05+00:00"
"25","1767745644","复古摩托头盔","9189","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:24+00:00"
"26","1767745646","GN 重型夜视头盔 (破损)","283574","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:26+00:00"
"27","1767745655","射手战术背心 (破损)","34827","护甲","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:35+00:00"
"28","1767745680","M14 20发弹匣","23389","弹匣","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:00+00:00"
"29","1767745729","微型红点瞄准镜","13327","瞄具","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:49+00:00"
"30","1767745682","UZI性能护木","13636","护木","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:02+00:00"
"31","1767745734","SMG45裂变长枪管","47330","枪管","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:54+00:00"
"32","1767745735","SG552骑士重枪管","25674","枪管","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:55+00:00"
"33","1767745646","MC防弹头盔 (几乎全新)","8923","头盔","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:26+00:00"
"34","1767745661","帆布背囊","4962","背包","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:27:41+00:00"
"35","1767745728","棱镜通用二倍光学瞄具","48958","瞄具","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:48+00:00"
"36","1767745729","AP5000反射式瞄准镜","5668","瞄具","2026-01-07T00:39:43.396896+00:00","2026-01-07 00:28:49+00:00"
