"id","is_get_time","name","price","secondClassCN","snapshot_time","commit_time"
"49","1767227886","核心导轨枪托","14181","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"50","1767227834","QCQ171冲锋枪","121143","冲锋枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:14+00:00"
"51","1767227881","5.8新式30发弹匣","7276","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:01+00:00"
"52","1767227928","视点3倍瞄准镜","50235","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:48+00:00"
"53","1767227939","薪火螺旋消焰器","19774","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"54","1767227885","ASh-12骨架枪托","103754","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:05+00:00"
"55","1767227886","S12K撞火枪托","53509","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"56","1767227886","G3枪托","25060","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"57","1767227886","MP7枪托尾盖","863","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"58","1767227834","M16A4突击步枪","12281","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:14+00:00"
"59","1767227840","G17","4800","手枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"60","1767227843","户外棒球帽","10110","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:23+00:00"
"61","1767227931","K416特勤短枪管组合","51713","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:51+00:00"
"62","1767227935","Mini-14增强枪管","40688","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"63","1767227890","侵袭后握把","25078","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:10+00:00"
"64","1767227845","D6 战术头盔 (几乎全新)","52287","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"65","1767227845","H01 战术头盔 (几乎全新)","6203","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"66","1767227882","93R 18发弹匣","3896","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:02+00:00"
"67","1767227932","Vector长剑超长枪管组合","51545","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:52+00:00"
"68","1767227939","堡垒水平补偿器","44752","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"69","1767227842","MHS 战术头盔","110803","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:22+00:00"
"70","1767227879","SCARH 50发弹鼓","37066","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:59+00:00"
"71","1767227840","复合弓","78000","特殊武器","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"72","1767227849","复古摩托头盔 (破损)","4074","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:29+00:00"
"73","1767227879","AKS-74U聚合物弹鼓75发","37181","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:59+00:00"
"74","1767227880","5.8新式45发 扩容弹匣","21357","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:00+00:00"
"75","1767227929","全息瞄准镜","5657","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:49+00:00"
"76","1767227933","M249犀牛长枪管","63162","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:53+00:00"
"77","1767227885","416稳固枪托","36479","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:05+00:00"
"78","1767227891","G3镂空握把","35444","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:11+00:00"
"79","1767227833","SCAR-H战斗步枪","114370","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:13+00:00"
"80","1767227838","VSS射手步枪","50163","精确射手步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:18+00:00"
"81","1767227845","防暴头盔 (几乎全新)","19210","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"82","1767227852","安保防弹衣","2390","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:32+00:00"
"83","1767227860","MAP侦察背包","41898","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"84","1767227861","运动背包","3796","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:41+00:00"
"85","1767227882","M700先进枪身系统","19198","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:02+00:00"
"86","1767227939","725双管霰弹枪牛仔消音器","35711","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"87","1767227886","Vector枪托尾盖","7835","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"88","1767227890","新式尖兵轻型握把","25896","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:10+00:00"
"89","1767227855","武士防弹背心 (破损)","74434","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:35+00:00"
"90","1767227860","DASH战术背包","17796","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"91","1767227879","SCARH 30发弹匣","34652","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:59+00:00"
"92","1767227883","M870导轨护木","2066","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:03+00:00"
"93","1767227891","XK橡胶套后握","10953","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:11+00:00"
"94","1767227845","MHS 战术头盔 (几乎全新)","81295","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"95","1767227883","M1014导轨护木","10298","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:03+00:00"
"96","1767227891","平衡握把底座","25775","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:11+00:00"
"97","1767227855","精英防弹背心 (破损)","245654","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:35+00:00"
"98","1767227858","轻型战术胸挂","1970","胸挂","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:38+00:00"
"99","1767227933","M700平流层长枪管","86018","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:53+00:00"
"100","1767227935","SV98灵巧短枪管","103347","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"101","1767227931","K437长矛手长枪管组合","48137","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:51+00:00"
"102","1767227849","户外棒球帽 (破损)","7083","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:29+00:00"
"103","1767227854","尼龙防弹衣 (几乎全新)","2504","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:34+00:00"
"104","1767227930","SKS截断标准枪管","54309","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:50+00:00"
"105","1767227935","K416精英重枪管组合","34640","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"106","1767227933","M7实用长枪管组合","81614","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:53+00:00"
"107","1767227939","冲锋枪回声消音器","51461","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"108","1767227889","伸缩脚架握把","23120","前握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:09+00:00"
"109","1767227843","DAS 防弹头盔","39541","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:23+00:00"
"110","1767227845","安保头盔 (几乎全新)","1583","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"111","1767227858","通用战术胸挂","4700","胸挂","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:38+00:00"
"112","1767227860","ALS背负系统","65190","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"113","1767227881","G3 50发弹鼓","21531","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:01+00:00"
"114","1767227939","炽火抑制器","21073","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"115","1767227889","幻影垂直握把","74663","前握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:09+00:00"
"116","1767227849","防暴头盔 (破损)","10944","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:29+00:00"
"117","1767227852","通用战术背心","14591","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:32+00:00"
"118","1767227861","战术快拆背包","9375","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:41+00:00"
"119","1767227929","全景红点瞄准镜","29294","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:49+00:00"
"120","1767227940","精英手枪制退器","10977","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:39:00+00:00"
"121","1767227886","AK折叠枪托","18266","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"122","1767227840","93R","16985","手枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"123","1767227849","H07 战术头盔 (破损)","16304","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:29+00:00"
"124","1767227849","安保头盔 (破损)","1303","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:29+00:00"
"125","1767227850","DT-AVS防弹衣","172471","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:30+00:00"
"126","1767227880","S12K扩容24发弹鼓","52771","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:00+00:00"
"127","1767227935","MP5战术枪管组合","36013","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"128","1767227939","DTK制退器","43517","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"129","1767227833","K416突击步枪","143274","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:13+00:00"
"130","1767227928","灵眼6/12弹道计算狙击镜","101192","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:48+00:00"
"131","1767227883","UZI导轨护木","31124","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:03+00:00"
"132","1767227889","K1精英斜角握把","31782","前握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:09+00:00"
"133","1767227838","M250通用机枪","192324","轻机枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:18+00:00"
